date,temperature,rain,windSpeed
1684263718,10.22,1.04,2.57
1684264022,10.22,0.78,1.54
1684264923,10.35,0.35,1.54
1684265935,10.35,0.15,1.54
1684266588,10.47,0.00,1.54
1684267190,10.47,0.12,1.54
1684267973,10.47,0.16,2.57
1684268575,10.34,0.00,2.57
1684269178,10.23,0.00,2.57
1684269966,10.23,0.15,2.06
1684270569,10.23,0.32,2.06
1684271172,10.11,0.95,2.57
1684272076,10.16,0.26,2.57
1684272677,10.16,0.23,2.57
1684273278,10.16,0.17,2.06
1684273880,10.01,0.22,2.06
1684274601,10.01,0.12,4.63
1684275202,10.01,0.00,4.63
1684275803,9.97,0.13,4.63
1684276405,9.97,1.32,4.12
1684277006,9.97,2.24,4.12
1684277608,9.97,2.01,4.12
1684278209,9.97,1.22,4.12
1684278860,9.96,1.78,4.12
1684279651,9.97,1.78,4.12
1684280252,10.12,1.94,6.17
1684280853,10.12,1.78,6.17
1684281695,9.83,1.51,6.17
1684282536,9.69,0.43,3.60
1684283257,9.69,1.63,3.60
1684283858,9.69,0.19,1.54
1684284461,9.58,4.21,1.54
1684284995,9.58,4.21,1.54
1684285623,9.43,3.65,3.60
1684286070,9.43,3.16,3.60
1684286865,9.26,2.05,3.60
1684287706,9.25,1.46,1.54
1684288307,9.25,0.71,1.54
1684288909,9.12,0.61,1.54
1684289675,8.90,0.37,2.06
1684290712,8.79,0.29,2.06
1684291314,8.63,0.39,2.57
1684291915,8.63,0.49,2.57
1684292516,8.63,0.53,2.57
1684293357,8.63,0.27,3.60
1684293958,8.60,0.24,3.60
1684294681,8.85,0.15,3.60
1684295282,8.47,0.14,3.60
1684295883,8.85,0.14,3.60
1684296208,8.46,0.00,4.63
1684297086,8.32,0.00,4.63
1684297687,8.20,0.00,4.63
1684298408,8.20,0.00,6.17
1684299009,8.20,0.00,6.17
1684299610,8.21,0.00,6.17
1684300332,8.08,0.00,5.66
1684300933,8.04,0.11,5.66
1684301654,7.71,0.11,5.14
1684302258,7.71,0.11,5.14
1684302860,7.57,0.13,5.14
1684303414,7.56,0.13,6.69
1684304182,7.44,0.13,6.69
1684305002,7.39,0.13,6.69
1684305744,7.39,0.10,6.17
1684306345,7.27,0.00,6.17
1684306946,7.27,0.00,6.17
1684307908,7.27,0.00,4.63
1684308510,7.63,0.00,4.63
1684309111,7.63,0.00,6.17
1684309832,7.62,0.00,6.17
1684310617,7.34,0.00,8.75
1684311305,7.05,0.00,8.75
1684312211,7.05,0.00,8.75
1684312833,7.27,0.00,6.69
1684313434,7.13,0.00,6.69
1684314039,7.00,0.12,6.69
1684314790,7.00,0.00,7.72
1684315419,7.44,0.00,7.72
1684316049,7.15,0.00,8.23
1684316652,6.79,0.00,8.23
1684347379,6.26,0.12,6.69
1684348343,6.21,0.12,6.69
1684350050,6.26,0.00,7.20
1684350679,6.26,0.00,7.20
1684351464,6.26,0.00,7.20
1684352252,6.56,0.00,7.50
1684352854,6.76,0.00,7.50
