date,temperature,rain,windSpeed
1684263964,11.25,0.13,1.03
1684264673,99.00,0.99,33.00
1684265101,11.25,0.37,1.03
1684266055,11.25,0.42,0.89
1684267075,11.25,0.29,0.89
1684267807,11.25,0.00,0.51
1684268357,11.25,0.00,0.89
1684269094,11.25,0.00,0.51
1684269845,11.25,0.00,1.03
1684270509,11.25,0.00,1.03
1684270816,11.25,0.13,1.03
1684271715,11.25,1.15,2.06
1684272301,11.52,0.24,2.06
1684272901,11.52,0.37,0.51
1684273501,11.52,0.21,0.51
1684274120,11.52,0.15,0.51
1684274721,11.52,0.65,0.51
1684275303,11.52,0.21,0.51
1684275828,11.52,0.14,0.51
1684276525,11.52,0.00,1.03
1684277126,11.52,0.00,1.03
1684277728,11.52,0.00,1.03
1684278118,11.52,0.00,1.03
1684278909,11.52,1.15,1.03
1684279771,11.52,0.87,1.03
1684280372,11.52,0.10,1.03
1684280796,11.52,0.00,1.03
1684281519,11.52,0.00,1.03
1684282176,11.52,0.00,0.51
1684283137,11.52,0.00,0.51
1684283738,11.52,0.00,0.89
1684284246,11.52,2.05,0.89
1684284911,11.52,2.73,0.89
1684285266,11.52,0.56,0.89
1684286112,11.52,0.00,0.89
1684286705,11.52,0.00,0.89
1684287301,11.52,0.00,1.03
1684287905,11.52,0.00,1.03
1684288502,11.52,0.00,2.24
1684289390,11.25,0.13,1.54
1684289789,11.25,0.14,1.54
1684290833,11.25,0.17,1.03
1684291434,11.25,0.41,1.03
1684292035,11.25,0.11,1.03
1684292417,11.25,0.00,1.03
1684293237,11.25,0.00,2.06
1684293557,11.25,0.12,2.06
1684294440,11.25,0.12,1.03
1684295041,11.25,0.00,1.03
1684295642,11.52,0.00,1.03
1684296244,11.52,0.00,1.03
1684297206,11.52,0.00,1.03
1684298115,11.52,0.00,1.54
1684298702,11.52,0.00,1.54
1684299172,11.52,0.00,1.54
1684299971,12.04,0.00,1.54
1684300516,12.04,0.00,1.54
1684301293,12.30,0.00,1.54
1684301894,12.30,0.00,2.06
1684302316,12.30,0.00,2.06
1684303100,12.30,0.00,2.06
1684303890,12.30,0.00,2.57
1684304346,12.30,0.00,2.57
1684305007,12.30,0.00,2.57
1684305864,12.30,0.00,2.06
1684306424,12.30,0.00,2.68
1684306802,12.30,0.00,2.68
1684307552,12.30,0.10,2.68
1684308269,12.30,0.10,2.57
1684308901,12.30,0.00,3.09
1684309712,12.30,0.13,3.09
1684310024,12.30,0.20,3.09
1684310666,12.30,0.24,2.06
1684311386,12.30,1.19,3.13
1684264067,9.63,9.63,9.63
1684264926,9.72,9.72,9.72
1684265995,9.72,9.72,9.72
1684267251,9.63,9.63,9.63
1684268034,9.63,9.63,9.63
1684268636,9.48,9.48,9.48
1684268995,9.48,9.48,9.48
1684269840,9.19,9.19,9.19
1684270201,9.19,9.19,9.19
1684270840,9.55,9.55,9.55
1684271836,9.22,9.22,9.22
1684272437,9.19,9.19,9.19
1684273038,8.93,8.93,8.93
1684273639,8.93,8.93,8.93
1684274480,8.73,8.73,8.73
1684275082,9.03,9.03,9.03
1684275683,9.02,9.02,9.02
1684276284,9.02,9.02,9.02
1684276885,9.02,9.02,9.02
1684277487,9.02,9.02,9.02
1684278088,9.03,9.03,9.03
1684278689,9.03,9.03,9.03
1684279290,9.02,9.02,9.02
1684280012,9.02,9.02,9.02
1684280613,9.27,9.27,9.27
1684281214,9.27,9.27,9.27
1684281704,9.36,9.36,9.36
1684282656,9.03,9.03,9.03
1684283378,8.98,8.98,8.98
1684283980,8.96,8.96,8.96
1684284485,8.96,8.96,8.96
1684285182,8.57,8.57,8.57
1684285783,8.54,8.54,8.54
1684286384,8.47,8.47,8.47
1684287000,8.15,8.15,8.15
1684287827,8.14,8.14,8.14
1684288669,7.97,7.97,7.97
1684289630,7.79,7.79,7.79
1684290592,7.45,7.45,7.45
1684291193,7.45,7.45,7.45
1684291794,7.45,7.45,7.45
1684292395,7.29,7.29,7.29
1684292997,7.27,7.27,7.27
1684293598,7.03,7.03,7.03
1684294560,6.83,6.83,6.83
1684295161,6.81,6.81,6.81
1684295762,6.81,6.81,6.81
1684296365,6.91,6.91,6.91
1684297326,6.81,6.81,6.81
1684298288,7.06,7.06,7.06
1684298889,7.06,7.06,7.06
1684299490,7.09,7.09,7.09
1684300211,7.31,7.31,7.31
1684300812,7.07,7.07,7.07
1684301400,7.10,7.10,7.10
1684302138,7.36,7.36,7.36
1684302739,7.57,7.57,7.57
1684303220,7.91,7.91,7.91
1684304062,7.89,7.89,7.89
1684304663,8.07,8.07,8.07
1684305384,8.15,8.15,8.15
1684305985,8.15,8.15,8.15
1684306586,8.15,8.15,8.15
1684307187,8.29,8.29,8.29
1684308029,8.54,8.54,8.54
1684308600,8.56,8.56,8.56
1684309471,8.63,8.63,8.63
1684310193,8.77,8.77,8.77
1684311160,9.30,9.30,9.30
1684311919,12.30,1.15,3.13
1684312586,12.04,0.67,3.09
1684313136,12.04,0.89,3.09
1684314020,12.04,0.56,3.09
1684314773,11.52,0.71,2.06
1684315378,11.52,0.95,2.06
1684315801,11.52,0.87,2.06
1684316632,11.78,0.16,1.03
1684323302,11.52,0.15,1.54
1684347302,8.17,0.00,1.03
1684348162,8.63,0.00,3.13
1684349007,8.36,0.00,3.13
1684350151,8.36,0.00,1.54
1684350984,8.36,0.00,1.54
1684351518,8.36,0.00,1.54
1684352312,8.56,0.00,2.15
1684353095,8.56,0.00,0.89
