date,temperature,rain,windSpeed
1684264673,50.00,50.00,50.00
1684264067,9.63,0.13,3.58
1684264926,9.72,0.18,4.47
1684264673,11.00,0.10,33.00
1684265995,9.72,0.18,7.60
1684266648,9.72,0.32,7.15
1684352633,50.00,50.00,50.00
1684267251,9.63,0.42,3.58
1684268034,9.63,0.37,4.92
1684268636,9.48,0.37,5.81
1684268995,9.48,0.32,6.71
1684269840,9.19,0.42,4.92
1684270201,9.19,0.49,7.15
1684270840,9.55,0.65,4.02
1684271836,9.22,0.42,4.02
1684272437,9.19,0.37,4.47
1684273038,8.93,0.35,5.36
1684273639,8.93,0.42,4.47
1684274480,8.73,0.37,4.02
1684275082,9.03,0.37,5.81
1684275683,9.02,0.24,6.26
1684276284,9.02,0.20,2.24
1684276885,9.02,0.17,4.02
1684277487,9.02,0.13,2.68
1684278088,9.03,0.00,4.92
1684278689,9.03,0.00,4.92
1684279290,9.02,0.00,3.58
1684280012,9.02,0.00,5.81
1684280613,9.27,0.00,5.36
1684281214,9.27,0.00,4.47
1684281704,9.36,0.00,7.15
1684282656,9.03,0.00,4.47
1684283378,8.98,0.00,8.49
1684283980,8.96,0.00,5.36
1684284485,8.96,0.00,4.47
1684285182,8.57,0.00,4.92
1684285783,8.54,0.00,5.81
1684286384,8.47,0.00,8.49
1684287000,8.15,0.00,6.71
1684287827,8.14,0.00,4.92
1684288669,7.97,0.00,6.71
1684289630,7.79,0.00,5.36
1684290592,7.45,0.00,7.60
1684291193,7.45,0.00,7.60
1684291794,7.45,0.00,5.81
1684292395,7.29,0.00,6.26
1684292997,7.27,0.00,6.26
1684293598,7.03,0.00,4.47
1684294560,6.83,0.00,5.36
1684295161,6.81,0.00,5.36
1684295762,6.81,0.00,4.47
1684296365,6.91,0.00,4.92
1684297326,6.81,0.00,5.81
1684298288,7.06,0.00,3.13
1684298889,7.06,0.00,5.36
1684299490,7.09,0.00,4.47
1684300211,7.31,0.00,8.49
1684300812,7.07,0.00,8.05
1684301400,7.10,0.00,7.60
1684302138,7.36,0.00,4.92
1684302739,7.57,0.00,8.49
1684303220,7.91,0.00,6.71
1684304062,7.89,0.00,5.36
1684304663,8.07,0.00,4.02
1684305384,8.15,0.00,7.15
1684305985,8.15,0.00,7.60
1684306586,8.15,0.00,3.58
1684307187,8.29,0.00,5.36
1684308029,8.54,0.00,4.47
1684308600,8.56,0.00,4.47
1684309471,8.63,0.00,5.81
1684310193,8.77,0.00,7.60
1684311160,9.30,0.00,5.36
1684312091,9.47,0.00,11.62
1684312823,9.62,0.00,5.36
1684313287,10.34,0.00,1.79
1684314026,10.03,0.00,3.58
1684314776,9.85,0.00,4.92
1684315413,9.84,0.00,2.68
1684316043,10.13,0.00,3.58
1684316645,10.44,0.00,4.02
1684347285,10.06,0.00,2.24
1684347921,10.20,0.00,3.58
1684348585,10.19,0.00,3.13
1684350021,9.86,0.00,2.68
1684350619,9.83,0.00,1.34
1684351344,9.19,0.00,2.68
1684352131,9.32,0.00,1.79
1684353435,9.15,0.00,3.58
